001E	PR-FDG	T210
99B2	PS-JJA	BE9L
99B4	PS-RMZ	PAY1
99B5	PS-BTU	HA4T
99B6	PT-KMO	BE33
99B8	PR-DOF	AS50
99B9	PS-GEN	PAY1
99BA	PS-TKK	A109
99BC	PS-INB	C25B
99BF	PS-BVM	BE9L
99C0	PS-ECR	S22T
99C1	PP-CMK	FA50
99C2	PP-CAT	A109
99C3	PS-IPI	AS50
99C4	PS-SSS	C25M
99C5	PS-NSG	B505
99C7	PS-FPR	GA5C
99C8	PS-AGV	PAY2
99C9	PT-OGL	C208
99CB	PT-OCV	E110
99CC	PS-AVM	SF50
99CD	PS-TMA	A109
99CE	PS-KMO	BE20
99CF	PS-ARC	PC12
99D0	PS-VES	BE20
99D2	PS-MAA	E50P
99D3	PS-ALM	M600
99D4	PS-ELK	B407
99D5	PR-GJF	S22T
99D8	PS-ZAA	HA4T
99D9	PT-RRL	P28U
99DB	PR-OTX	A139
99DC	PT-WCR	PA34
99DD	PR-OOA	A139
99DE	PR-OOB	A139
99DF	PS-JFR	P46T
99E0	PR-LPE	C210
99E1	PS-MLS	C208
99E2	PS-AUG	PC24
99E4	PS-BEM	C550
99E5	PS-MIN	B407
99E6	PR-JJS	SR22
99E7	PR-UBI	EC35
99EA	PS-UDO	TBM7
99EC	PS-DBB	R44
99ED	PR-GDT	R66
99EE	PS-JKO	A109
99F2	PT-IAK	BE35
99F3	PS-AXM	H160
99F6	PS-RDN	E550
99F7	PS-DMF	E550
99F9	PT-WFQ	PAY2
99FA	PS-GGF	P68
99FC	PS-FBV	R66
99FD	PS-YYU	S22T
99FE	PP-MBX	HA4T
99FF	PR-NFN	BE9L
9A01	PS-CFG	GLEX
9A03	PS-APF	PC12
9A04	PS-LMD	SR22
9A05	PS-PLJ	SR20
9A06	PS-JRN	P46T
9A07	PS-BRR	BE9T
9A08	PS-NAT	R66
9A09	PS-ABS	PA46
9A0A	PS-BFB	B350
9A0B	PS-CAM	P46T
9A0C	PS-CUN	P46T
9A0D	PS-DSM	R66
9A0E	PS-GOE	DA62
9A0F	PS-BLL	HDJT
9A12	PS-CTS	BE20
9A13	PR-JMD	BE40
9A15	PS-GOV	PAY2
9A17	PS-ALG	B350
9A1B	PS-MCM	PAY3
9A1C	PS-VVL	P46T
9A1F	PT-ZPT	RV10
9A23	PS-JON	P46T
9A25	PS-RHF	C208
9A27	PR-CIF	DA62
9A28	PS-FGA	BE58
9A29	PS-JER	EC30
9A2B	PS-FBS	C208
9A2E	PR-YSK	A20N
9A2F	PS-GIF	BE20
9A32	PS-JLR	TBM9
9A34	PS-AAA	R66
9A36	PS-EMC	R66
9A37	PS-KKK	R66
9A39	PS-SFG	PC12
9A3B	PP-AZN	PAY1
9A3C	PS-WRA	C25B
9A3D	PS-MLB	BE9L
9A3E	PS-FGK	C525
9A3F	PS-FMP	BE9L
9A40	PS-TFS	BE9T
9A41	PS-KOU	BE9L
9A42	PS-GSK	R66
9A43	PS-DLD	P46T
9A44	PR-DOK	PA46
9A46	PR-PDZ	AT76
9A47	PS-VPA	AT76
9A48	PR-XMY	B38M
9A49	PS-RDM	SR22
9A4A	PS-MMH	S22T
9A4D	PS-PLZ	S22T
9A50	PS-SEI	P46T
9A51	PS-LPD	C208
9A53	PS-CCC	EC30
9A54	PR-YSL	A20N
9A55	PR-YSN	A20N
9A56	PS-PDM	PA46
9A57	PR-OOC	A139
9A58	PR-OOD	A139
9A59	PR-XMZ	B38M
9A5A	PS-UPT	R66
9A5B	PS-SFE	MC01
9A5C	PR-JGG	G280
9A5D	PS-HAF	B429
9A5F	PP-FFL	PA18
9A60	PR-NBK	PAY1
9A62	PS-ARO	PC24
9A63	PS-NCM	BE9L
9A64	PS-BSZ	PAY3
9A66	PS-LPM	P46T
9A67	PS-MMA	PA46
9A68	PS-RVA	R66
9A69	PR-JKM	S92
9A6A	PR-JKK	S92
9A6B	PR-JHE	A139
9A70	PR-JKC	S92
9A72	PS-EMT	C55B
9A73	PP-PIX	SF50
9A76	PS-FJB	CL35
9A77	PS-LPR	B505
9A79	PS-SIX	E50P
9A7A	PS-TRD	C25B
9A7F	PS-NSA	C525
9A81	PS-JVC	HA4T
9A83	PR-NDE	BE36
9A84	PP-JGR	BE9L
9A85	PS-BSS	C208
9A86	PS-AEK	E295
9A87	PS-AEJ	E295
9A88	PS-LOP	GALX
9A89	PS-DEM	R66
9A8A	PS-AEM	E295
9A8B	PS-AEL	E295
9A8C	PS-CNE	C208
9A8D	PS-CNF	C208
9A8F	PS-IJR	BE9L
9A90	PS-KCF	BE9L
9A91	PT-VQZ	PA34
9A94	PR-JHD	A139
9A95	PS-AGD	P46T
9A96	PS-AEO	E295
9A97	PS-AEN	E295
9A99	PR-MRS	PA30
9A9E	PS-MBC	BE20
9A9F	PS-AEP	E295
9AA1	PR-VPL	BE9L
9AA2	PS-ERA	PAY2
9AA3	PR-CDO	C152
9AA4	PS-ICG	R44
9AA5	PS-OOO	R66
9AA8	PR-XBM	A20N
9AA9	PR-XBN	A20N
9AAA	PR-XBO	A20N
9AAB	PR-XBP	A20N
9AAC	PT-OCK	BE58
9AAE	PS-NJR	F900
9AB0	PS-TCN	TWEN
9AB2	PS-CTW	C208
9AB3	PS-BRT	G280
9AB6	PS-HPR	R66
9AB7	PS-HPM	R66
9AB8	PR-TMZ	BE9T
9ABE	PS-WDA	SR22
9AC3	PS-MGC	R66
9AC4	PT-JBN	BE95
9AC5	PS-ZAB	SR20
9AC6	PS-AHP	PAY1
9AC7	PS-MFK	C25B
9ACD	PS-FFT	GLF5
9ACE	PP-PEB	BE20
9AD0	PS-MNE	SF50
9AD2	PR-NFB	BE9L
9AD7	PS-WMS	B429
9AD8	PT-OBN	C210
9ADA	PP-LPS	M600
9ADB	PS-GSJ	PAY1
9ADD	PS-XSX	BE20
9ADE	PS-CMC	E55P
9ADF	PP-KMV	LJ75
9AE4	PS-JLL	B505
9AE5	PS-MAV	LJ31
9AE8	PS-MDA	R66
9AE9	PR-YXT	AT76
9AEA	PR-YXA	AT76
9AF0	PR-OOG	A139
9AF1	PR-OOE	EC35
9AF2	PS-CRT	DA62
9AF4	PR-YSO	A20N
9AF5	PP-NIK	C185
9AF6	PP-MIZ	SR22
9AF8	FAB1398	TUCA
9AFC	PS-FSS	TWEN
9AFD	PS-USK	HA4T
9AFE	PP-MEK	BE9L
9B00	PS-HIN	BE40
9B01	PS-ASS	TBM9
9B02	PS-VPB	AT75
9B03	PR-OVJ	EC30
9B07	PS-KID	P46T
9B08	PS-COC	BE20
9B09	PS-FEC	C25M
9B0A	PS-PJM	GLF5
9B0D	PR-ZYM	RV10
9B0E	PS-JQZ	R66
9B0F	PS-HTA	BE9L
9B11	PS-TAH	BE9L
9B13	PS-ARB	AS50
9B14	PS-CNG	C208
9B16	PS-BTC	A139
9B17	PS-VON	BE20
9B1C	PS-VAI	B105
9B1F	PR-OOH	S92
9B20	PR-OOI	A139
9B21	PS-PAR	PA46
9B23	PT-LPL	BE9T
9B25	PR-EPV	S92
9B29	PS-REH	EC30
9B2A	PT-WSU	C182
9B2C	PR-NLN	A139
9B2D	PR-MLL	A139
9B2E	PR-WSG	A139
9B30	PP-NLX	A139
9B31	PR-CFX	A139
9B32	PR-EFX	A139
9B34	PS-SLP	ASTR
9B37	PS-CDV	A139
9B38	PS-CDW	A139
9B39	PS-CDU	A139
9B3B	PR-HLA	B407
9B3C	PS-PMP	BE9L
9B3D	PR-EDW	BE20
9B3E	PS-CDT	A139
9B3F	PR-RVM	SR22
9B40	PP-JMP	DA62
9B42	PS-CNH	C208
9B43	PS-MLZ	DA62
9B45	PR-GCB	SR22
9B46	PS-CNI	C208
9B47	PS-JLP	B505
9B4A	PS-TCB	B350
9B4D	PPEUS	PA34
9B51	PS-GRA	B38M
9B52	PS-GRB	B38M
9B53	PS-GRC	B38M
9B57	PS-BTD	A139
9B5A	PT-RUR	PA34
9B5E	PS-PLL	S22T
9B61	PS-CDR	A139
9B62	PS-RDI	BE20
9B63	PS-DJS	A169
9B64	PP-EIK	PA34
9B65	PT-OIT	C182
9B68	PT-RQI	PA34
9B6A	PS-LCA	PC24
9B6B	PS-CES	C210
9B6C	PR-RZT	BE9L
9B6D	PS-SSH	BE40
9B71	PP-SAS	B350
9B72	PP-AFG	P46T
9B73	PT-ORR	BE95
9B75	PS-EDM	R66
9B79	PS-YDF	AS50
9B7A	PS-BOA	BE20
9B7C	PS-MPM	BE20
9B7E	PS-VML	PC12
9B7F	PR-LPK	T210
9B81	PR-YXC	AT76
9B82	PR-YXB	AT76
9B83	PS-COA	A119
9B84	PS-EBK	E50P
9B86	PR-IRA	HA4T
9B87	PP-JGM	EC30
9B88	PS-PMM	EC45
9B89	PR-VPS	EC45
9B8D	PS-MEG	S22T
9B8E	PS-GMS	S22T
9B90	PS-AMD	BE40
9B91	PS-CBL	C510
9B92	PS-LUI	SR22
9B93	PS-AVF	G150
9B94	PR-LTQ	P46T
9B95	PS-MRS	R66
9B99	PS-VMS	R66
9B9B	PS-MJT	C510
9B9C	PR-BHS	BE20
9B9E	PS-EVM	TBM7
9B9F	PS-APM	GLEX
9BA0	PS-JCF	AS50
9BA1	PS-RAZ	P46T
9BA3	PS-AGM	M600
9BA4	PS-FOM	R44
9BA5	PS-LLV	M600
9BA6	PS-IIU	R66
9BA7	PS-FCG	AS50
9BAD	PS-FSA	E55P
9BAE	PS-VDA	C560
9BAF	PS-GRD	B738
9BB0	PP-VIO	B505
9BB1	PS-MFJ	BE20
9BB3	PS-EAI	S22T
9BB5	PS-MLP	SR22
9BB7	PS-OJL	BE20
9BB8	PT-OHZ	BE9T
9BBA	PS-SFR	E550
9BBB	PS-LOD	PA31
9BBC	PS-SMM	SR22
9BBE	PP-VVM	R66
9BC3	PP-PLD	EC30
9BC5	PS-BTW	A139
9BC6	PP-ILU	HA4T
9BC8	PS-BVT	B505
9BC9	PR-LBN	C56X
9BCC	PR-OOL	S92
9BCD	PR-OOM	S92
9BCE	PR-OOJ	S92
9BD1	PS-FBC	R66
9BD2	PP-AGO	B350
9BD4	PS-LMT	PAY2
9BD6	PP-ELV	BE20
9BD7	PS-GMA	C550
9BD8	PT-VBI	PA34
9BD9	PS-CPM	SR22
9BDC	PS-DAO	SF50
9BDD	PS-AMO	R44
9BDF	PS-STE	LJ35
9BE0	PS-MIR	S22T
9BE1	PS-CTE	C208
9BE2	PS-CEO	BE20
9BE5	PS-FSM	E50P
9BE6	PS-PJA	B505
9BE7	PS-VFG	BE9L
9BEA	PS-CDC	B505
9BEB	PS-SSF	BE9L
9BEC	PS-TBM	TBM9
9BED	PS-GDE	PAY1
9BEE	PS-DMG	R66
9BEF	PS-EGT	C56X
9BF1	PS-ESB	C510
9BF6	PS-JAD	GLF5
9BF9	PS-YCH	PA34
9BFC	PS-LBL	A21N
9BFD	PS-LBK	A21N
9BFE	PS-LBJ	A21N
9BFF	PS-LBA	A21N
9C00	PS-LBN	A21N
9C01	PS-LBC	A21N
9C02	PS-LBE	A21N
9C03	PR-LBB	A21N
9C04	PS-LBD	A21N
9C05	PS-LBF	A21N
9C06	PS-LBI	A21N
9C07	PS-LBG	A21N
9C08	PS-LBH	A21N
9C09	PS-GEO	C206
9C0A	PT-XXW	C152
9C0C	PS-AIR	BE20
9C0D	PP-AFL	F2TH
9C0E	PS-PVC	EC45
9C10	PR-JHG	A139
9C11	PS-LOM	MC01
9C15	PS-ECM	B505
9C18	PS-ECO	R66
9C1A	PS-STP	GL5T
9C1E	PS-AMC	R66
9C21	PS-LMP	E295
9C24	PP-KYM	B505
9C25	PS-BRC	DA62
9C26	PT-ZMC	RV10
9C27	PS-BDC	B429
9C28	PS-SUS	C208
9C2F	PS-DZT	P46T
9C33	PS-EFC	BE20
9C34	PS-FZB	C510
9C35	PP-IXK	PC24
9C38	PS-DTG	PA46
9C39	PS-WHM	R66
9C3A	PT-WIY	BE36
9C3C	PS-MGQ	BE9L
9C3F	PS-VAZ	SR22
9C40	PS-HBC	DA62
9C41	PS-EEI	PA46
9C42	PS-BLM	BE9L
9C43	PS-FJC	BE9L
9C48	PS-JDV	R66
9C4E	PS-RHL	R66
9C4F	PS-STB	BE20
9C52	PS-DNW	A169
9C53	PR-IDP	B505
9C55	PR-ZRX	RV10
9C56	PR-ZQR	RV10
9C57	PP-SLR	B407
9C59	PR-XBQ	A20N
9C5A	PR-XBR	A20N
9C5C	PP-ACS	C172
9C5D	PS-CMD	B505
9C5E	PS-BTB	A139
9C5F	PS-BTE	A139
9C60	PS-MLR	BE20
9C61	PR-AIE	EC45
9C63	PR-AIG	EC45
9C64	PR-JHH	A139
9C66	PS-GOO	ASTR
9C67	PS-EPM	R66
9C68	PS-LPA	R66
9C70	PS-RMR	C525
9C71	PS-VMB	GLF5
9C73	PR-ZQL	RV10
9C75	PS-GTI	P46T
9C77	PS-FGC	BE9L
9C78	PS-DBN	BE9L
9C7B	PP-SER	SR22
9C7D	PS-BSX	R44
9C7F	PS-VMQ	PA46
9C80	PS-JGV	BE9L
9C81	PS-JRC	SR22
9C83	PS-AJM	BE20
9C85	PS-CER	BE20
9C86	PT-LQE	BE9L
9C8D	PT-SAE	BE36
9C93	PS-GTM	SR22
9C95	PS-SAN	TBM7
9C96	PS-JBB	R66
9C97	PS-HJF	R66
9C99	PS-PAP	R66
9C9A	PS-FPC	R66
9C9C	PS-AIP	SF50
9C9F	PT-LYM	BE9T
9CA0	PS-SRI	SR22
9CA3	PT-FTM	C182
9CA4	PS-BRN	BE9L
9CA5	PS-MNB	BK17
9CA9	PS-GPQ	B38M
9CAA	PS-GPR	B38M
9CAB	PS-GPO	B38M
9CAC	PS-GPP	B38M
9CAD	PS-BGZ	BE20
9CB1	PR-ECJ	E75L
9CB2	PS-JOI	PC12
9CB3	PS-REB	C25A
9CB6	PS-ITO	M600
9CBD	PP-SCD	AC90
9CBE	PS-WCI	PAY1
9CC0	PS-OFF	E545
9CC2	PR-CGS	A139
9CC3	PS-CAC	P46T
9CC4	PP-UGP	E55P
9CC5	PR-CMJ	P46T
9CC8	PT-LZL	M20T
9CCC	PS-SYV	BE9L
9CCE	PT-OAY	BE55
9CCF	PS-ELV	C25M
9CD0	PS-AHW	P46T
9CD1	PS-WCW	R66
9CD6	PS-JCR	BE9L
9CD8	PT-MCG	E121
9CDB	PS-FBB	E50P
9CDC	PS-BBP	E55P
9CDF	PS-HLK	BE40
9CE2	PP-EMI	SR22
9CE4	PP-YBF	B738
9CE5	PS-YJL	P46T
9CE6	PP-OSR	SR22
9CE7	PS-RGF	EC30
9CE8	PS-TRC	BE20
9CE9	PS-PVD	BE58
9CEB	PS-AMZ	C208
9CEC	PS-TAI	BE9L
9CF1	PS-CFH	A109
9CF2	PS-GIR	B350
9CF5	PS-FDS	P46T
9D05	PS-BUZ	C510
9D06	PS-BTJ	A139
9D07	PS-MPJ	C25M
9D08	PS-PJB	BE9L
9D09	PP-CBD	BE20
9D0C	PR-DDR	R66
9D0D	PS-LCL	R66
9D0E	PS-AMM	PC24
9D10	PS-WNR	R66
9D12	PS-ATC	S22T
9D13	PS-FOC	C510
9D14	PS-BAC	B350
9D16	PT-RFT	PAT4
9D1E	PP-JAX	BE40
9D20	PS-AES	E295
9D21	PS-AEQ	E295
9D22	PR-YSP	A20N
9D24	PS-AER	E295
9D25	PS-NAI	TWEN
9D28	PS-MPE	EC30
9D29	PR-STU	EC30
9D2B	PS-GMI	PC12
9D31	PS-PEP	PA46
9D32	PS-RLS	SR22
9D34	PR-BSX	C55B
9D36	PS-NFC	P46T
9D37	PT-ZTI	RV10
9D39	PR-TFM	C172
9D3B	PR-CNV	DA62
9D3C	PS-STC	BE58
9D40	PS-GLT	PAY1
9D44	PT-LYY	BE58
9D45	PR-CGT	A139
9D47	PS-CRU	R66
9D49	PS-ILV	EC30
9D4B	PS-AJG	E55P
9D4C	PS-ANF	GLF4
9D4D	PS-MCA	B505
9D4E	PP-VCF	C152
9D4F	PS-SPG	E50P
9D51	PS-ESP	GLF5
9D52	PS-RGB	DA42
9D53	PP-OGM	R66
9D55	PR-NRG	DA42
9D56	PS-TBT	R66
9D58	PS-LSL	R66
9D59	PS-RBD	R66
9D5A	PT-WPA	PA34
9D5F	PS-JEC	BE40
9D63	PS-AST	BE9L
9D64	PS-PLA	C25B
9D69	PS-GST	C510
9D6B	PT-KCX	C172
9D6C	PS-CDQ	S76
9D6E	PT-VJT	PA34
9D70	PS-HRS	SR22
9D71	PS-RLL	C500
9D72	PS-HMC	B505
9D78	PS-PAL	C208
9D79	PS-VBP	P46T
9D7A	PS-MDZ	M600
9D7C	PT-ECM	PA32
9D7F	PS-DLA	SF50
9D84	PS-ANM	B429
9D85	PP-MHY	E50P
9D87	PS-RPN	GALX
9D88	PS-CMA	BE36
9D8B	PS-MVA	P46T
9D8C	PS-LCT	TWEN
9D8F	PT-CTS	C182
9D91	PS-LPI	BE40
9D96	PS-SFH	MC01
9D98	PT-OUF	BE9L
9D9A	PS-RRM	C525
9D9C	PP-JVB	BE40
9D9F	PS-GBA	PA46
9DA3	PS-INF	C208
9DA4	FAB8821	EC35
9DA6	FAB8822	EC35
9DA9	PS-AJD	C208
9DAC	PT-VSK	PA34
9DAD	PS-TZN	R66
9DAE	PP-MGD	P46T
9DB1	PP-FSL	C208
9DB2	PR-OON	A189
9DB3	PR-OOP	EC75
9DB5	PR-OOR	A189
9DB6	PR-OOS	A139
9DB8	PR-CGP	A139
9DBB	PS-GZP	C525
9DBE	PS-JDL	C208
9DC0	PS-NJB	SR22
9DC5	PS-MAY	BE20
9DC8	PS-CTP	C208
9DD1	PS-FRN	BE40
9DD2	PS-JFV	LJ45
9DD8	PS-EKR	A109
9DDA	PS-ATF	BE9L
9DDB	PS-OES	PA46
9DDC	PS-TAD	P46T
9DDD	PS-CGM	E55P
9DDE	PS-LBM	A21N
9DE1	PS-EMB	E550
9DE2	PS-JFG	P46T
9DE4	PS-DLC	C56X
9DE5	PT-LJS	MU2
9DF8	PS-BLZ	SR22
9DFB	PP-ETR	BE9L
9DFD	PR-YXE	AT76
9E01	PS-RZB	SF50
9E05	PS-FNP	B429
9E06	PS-BAG	SR22
9E08	PS-GTS	S22T
9E09	PP-INF	P46T
9E0B	PS-WGB	E50P
9E10	PS-FDI	BE20
9E11	PS-VMP	F2TH
9E12	PS-JOT	LJ45
9E18	PS-VHZ	DA62
9E19	PS-EAT	TWEN
9E1C	PS-LV	S22T
9E21	PS-BPM	PAY1
9E24	PS-SET	P46T
9E25	PS-WRC	PC12
9E28	PS-BJB	GLEX
9E2A	PR-CGU	A139
9E2C	PS-NVZ	PC12
9E2D	PS-STA	PC12
9E2E	PS-KLT	P46T
9E30	PS-RTE	DA62
9E36	PS-CTO	C208
9E37	PT-RYG	P28T
9E3A	PS-BPB	B734
9E3D	PS-MAR	PC12
9E3E	PS-EBR	P46T
9E46	PS-ASC	R66
9E49	PT-OVY	BE9L
9E4B	PP-HUV	B505
9E50	PS-CPD	B429
9E51	PS-ODF	GLF6
9E56	PS-GMD	B429
9E5A	PR-USK	E35L
9E5F	PS-GMU	E55P
9E62	PR-CSI	SR22
9E64	PS-LOG	PA46
9E67	PT-EHJ	PA31
9E6A	PS-INC	BE20
9E70	PS-JCJ	E55P
9E72	PS-VFS	R66
9E74	PP-NVI	G150
9E7A	PS-NTO	C25M
9E7B	PT-EIU	PA34
9E7D	PS-BBF	M600
9E80	PS-GTR	S22T
9E81	PS-DCO	SF50
9E82	PS-JLC	R66
9E83	PS-ERS	C208
9E84	PS-TLD	E50P
9E89	PP-DYB	LJ45
9E8A	PS-MAF	MC01
9E8E	PS-FHM	C208
9E91	PP-CYM	SR22
9E92	PS-PCA	S22T
9E95	PS-PBR	SR22
9E96	PS-UJM	BE20
9E97	PR-CGK	A139
9E98	PS-PEZ	SR22
9E9E	PP-YBE	B738
9EA5	PS-AKA	R66
9EA8	PS-ALS	R66
9EAA	PS-BNZ	R66
9EAB	PS-CBJ	R66
9EAC	PR-BHA	C510
9EAD	PS-ERI	B505
9EB2	PS-RTT	SF50
9EB4	PS-FCC	C25B
9EB5	PR-NGX	PC12
9EB7	PS-FJF	R66
9EB8	PS-WAL	R66
9EB9	PS-GSG	GLF5
9EBA	PP-NFI	G150
9EBD	PS-ICE	R66
9EBF	PS-ALU	R66
9EC2	PS-FPW	B350
9EC6	PS-EGM	R66
9EC7	PS-JRF	R66
9EC9	PR-YSR	A20N
9ECA	PR-YSQ	A20N
9ECB	PS-JNV	DA62
9ECE	PS-MDE	C525
9ED0	PT-YML	B06
9ED1	PR-DNR	EC30
9ED3	PS-LCP	S22T
9ED4	PR-XBS	A20N
9ED5	PR-XBT	A20N
9ED6	PS-GTW	TBM7
9ED7	PS-EVO	E55P
9EDA	PS-RJR	C182
9EE3	PP-LMS	T210
9EE5	PS-DCG	H160
9EE8	PS-PBH	E55P
9EEA	PT-WDS	E110
9EEB	PS-GRG	B38M
9EEC	PS-GRI	B38M
9EED	PS-GRL	B38M
9EEE	PS-GRK	B38M
9EEF	PS-GOL	B38M
9EF0	PS-GRH	B38M
9EF1	PS-GRJ	B38M
9EF2	PS-GRM	B38M
9EF3	PS-GRF	B38M
9EF4	PS-GRE	B38M
9EF6	PP-SAI	P46T
9EFA	PS-ARX	R66
9EFF	PS-TSL	TBM7
9F03	PS-VTT	EPIC
9F06	PS-BBD	E545
9F0B	PS-AJE	BE9L
9F0D	PS-AQN	S22T
9F10	PR-ANC	A339
9F12	PS-BTL	A139
9F13	PS-RCL	B350
9F14	PS-RAN	SF50
9F1A	PS-MMR	DA42
9F1E	PS-AGO	E55P
9F20	PT-VDG	PA34
9F21	PR-AIL	A332
9F22	PR-AIN	A332
9F27	PS-GMN	C25M
9F2A	PS-TPV	BE9L
9F2F	PR-BBR	LJ75
9F31	PS-BBG	TBM7
9F32	PR-OOT	A139
9F34	PR-OOV	A139
9F35	PR-OOW	A189
9F3F	PR-REH	EC45
9F43	PS-AET	E295
9F44	PS-AEU	E295
9F45	PS-AEV	E295
9F46	PP-NGM	GLF5
9F48	PS-GXA	BE20
9F51	PS-ODD	S22T
9F52	PS-AEX	E295
9F59	PS-AEZ	E295
9F5A	PS-AEW	E295
9F5B	PS-AEY	E295
9F63	PS-FMM	BE33
9F68	PS-KSK	P46T
9F6C	PS-JAM	R66
9F6D	PS-BTA	A139
9F6F	PS-FBF	E50P
9F78	PP-EZZ	EC45
9F7A	PS-BPA	B734
9F7D	PS-CJC	C208
9F84	PS-FTP	C25A
9F85	PS-GTG	R66
9F86	PP-PNS	P46T
9F87	PP-SGA	R66
9F88	PS-PCF	R66
9F89	PS-JCC	BE30
9F8E	PR-WDA	C152
9F92	PS-GNI	PC12
9F94	PS-FST	FA7X
9F9B	PS-PCT	H160
9F9D	PR-RSR	P32R
9FA5	PS-CMQ	E55P
9FAA	PS-SFI	MC01
9FAB	PS-MEL	DA62
9FB1	PS-ADA	E295
9FB2	PS-ADD	E295
9FB3	PS-ADE	E295
9FB4	PS-ADC	E295
9FB5	PS-ADB	E295
9FB6	PS-ADF	E295
9FBB	PR-EMV	BE20
9FBD	PR-ARY	C25M
9FBE	PS-LHA	A20N
9FC2	PS-LHC	A20N
9FC4	PS-RBG	B429
9FCE	PS-RRR	C25B
9FD1	PS-BDH	GLF4
9FD6	PR-CGW	A139
9FD7	PR-RSN	GALX
9FE0	PS-SLV	SF50
9FE4	PS-ISR	P46T
9FEA	PS-JFB	M600
9FEB	PP-DDD	BE9L
9FF0	PT-VOI	PA34
9FF4	PS-KLO	BE9L
9FF7	PS-UPL	R66
9FFC	PS-GSP	C208
A002	PS-ITU	B350
A006	PS-WMA	E545
A00C	PS-LHD	A20N
A012	PR-XBU	A20N
A013	PS-MDO	P46T
A016	PT-LMX	BE55
A018	PS-MBN	GLF6
A01F	PS-RKA	SF50
A025	PS-JCN	G280
A032	PS-RDJ	M600
A03F	PS-ISD	BE9T
A042	PS-ARF	PAY1
A049	PT-LYP	BE9T
A04C	PS-TSA	BE20
A04F	PS-BAP	GLF5
A051	PS-BOS	AS50
A05F	PP-CSL	E55P
A061	PS-TLF	B734
A063	PS-CTJ	BE9L
A067	PS-WST	C55B
A069	PP-PAC	A109
A06D	PS-VTO	EPIC
A070	PS-LMA	CL30
A071	PS-MOB	C25A
A074	PS-ANB	AS50
A075	PS-VAS	E550
A07A	PR-MIO	BE36
A07C	PS-ING	C525
A07D	PS-GGQ	C25C
A081	PS-FUN	C208
A08D	PS-VTA	EPIC
A08E	PP-FRM	BE20
A093	PS-IRS	E545
A094	PS-RHG	E50P
A096	PS-CEL	R66
A09A	PS-WRL	PC12
A0A1	PS-DSI	LJ45
A0A4	PS-SPD	TBM7
A0AC	PS-ABD	AT5T
A0AE	PR-PCA	BE36
A0B7	PS-LKN	C550
A0B8	PS-FUL	B505
A0BF	PP-APM	GALX
A0C2	PS-JNB	BE20
A0C5	PS-SRN	GLF5
A0C7	PS-ATM	G280
A0D2	PS-RDD	SF50
A0D4	PS-BCO	GLEX
A0D5	PS-VLP	E35L
A0D6	PT-VQN	PA34
A0DA	PS-RTD	BE20
A0DC	PP-HPY	EC35
A0DD	PS-SFP	SIRA
A0E0	PS-EUF	F2TH
A0E7	PS-AND	R66
A0F6	PS-TUT	A109
A0F9	PS-OPD	C510
A100	PS-GYP	LJ75
A102	PS-BBS	F2TH
A106	PR-TGF	SF50
A117	PP-OIG	GLF6
A11B	PS-FSF	E55P
A11D	PS-ZAZ	RV10
A121	PS-MBO	C25B
A125	PR-XBV	A20N
A128	PS-LHE	A20N
A12A	PS-LBO	A21N
A12B	PR-XBX	A20N
A12C	PR-XBZ	A20N
A12F	PS-MSA	ASTR
A130	PR-XBW	A20N
A131	PR-XBY	A20N
A133	PS-VID	BE20
A134	PS-GYN	BE9T
A13A	PS-JGN	BE9L
A13C	PS-AJB	A321
A13D	PS-AJA	A21N
A140	PS-ROE	E55P
A141	PS-HOR	E550
A142	PS-FME	P46T
A143	PS-DLI	B350
A146	PS-CDD	P46T
A148	PS-MEJ	BE9L
A14A	PS-FMF	K100
A14D	PR-RSG	E50P
A155	PR-JKJ	S92
A15A	PS-BDZ	B407
A15C	PS-GSL	BE20
A15D	PS-MCS	TBM9
A161	PS-VTS	EPIC
A163	PP-JPS	P46T
A167	PS-ROS	BE20
A16A	PS-TOK	P46T
A172	PS-KDO	TBM9
A17B	PP-BCI	BE20
A17D	PS-NVT	E55P
A17F	PT-FGB	B350
A183	PS-MAQ	E50P
A184	PS-GGN	PC12
A189	PS-JBA	SF50
A18E	PT-MBC	E550
A194	PS-JBZ	C25M
A197	PS-VIM	P46T
A19B	PS-MDF	P46T
A1A8	PS-LVE	C510
A1AB	PS-KDS	BE9L
A1AC	PS-ITM	EC30
A1AE	PS-FSB	P46T
A1B1	PS-PUG	TBM8
A1B2	PS-FGV	R66
A1B6	PS-GUL	AC95
A1B9	PS-VJR	R66
A1BA	PR-BCB	E55P
A1C1	PP-FZA	AS50
A1C7	FAB2860	E290
A1D2	PS-KFA	B505
A1DC	PS-ACE	H25B
A1DE	PS-IRB	C208
A1E2	PS-MPP	E55P
A1E3	PS-ICA	TBM9
A1E5	PS-SHZ	C680
A1EA	PS-RVB	MC01
A1EC	PS-BSB	TBM9
A1EE	PS-EMA	R66
A1F0	PS-CEA	R66
A1F5	PS-FIN	M600
A1F7	PP-WJR	C25M
A1F9	PT-MVJ	BE9L
A1FA	PS-YVL	E290
A1FD	PR-OGC	C56X
A1FE	PS-MMB	C208
A202	PS-GFG	B738
A20A	PS-MZV	C680
A210	PS-NCT	SF50
A211	PR-YXF	AT76
A218	PS-LHF	A320
A219	PT-OVE	PAY1
A222	PS-CLV	TBM9
A225	PR-OFH	EC75
A226	PS-OMH	E55P
